sample_id,sample_date,stream_ion,ion_conc
Q1,1988-01-29,NO3-N,77
Q1,1988-01-29,K,0.83
Q1,1988-01-29,Mg,1.35
Q1,1988-01-29,Ca,2.06
Q1,1988-01-29,NH4-N,31
Q1,1988-01-29,NO3-N,81
Q1,1988-01-29,K,0.91
Q1,1988-01-29,Mg,1.64
Q1,1988-01-29,Ca,2.65
Q1,1988-01-29,NH4-N,27
Q1,1988-01-29,NO3-N,281
Q1,1988-01-29,K,0.84
Q1,1988-01-29,Mg,1.41
Q1,1988-01-29,Ca,2.63
Q1,1988-01-29,NH4-N,24
Q1,1988-01-29,NO3-N,267
Q1,1988-01-29,K,0.86
Q1,1988-01-29,Mg,1.59
Q1,1988-01-29,Ca,2.67
Q1,1988-01-29,NH4-N,21
Q1,1988-01-29,NO3-N,242
Q1,1988-02-02,K,0.76
Q1,1988-02-02,Mg,1.71
Q1,1988-02-02,Ca,2.78
Q1,1988-02-02,NH4-N,80
Q1,1988-02-02,NO3-N,138
Q1,1988-02-02,K,0.79
Q1,1988-02-02,Mg,1.62
Q1,1988-02-02,Ca,2.57
Q1,1988-02-02,NH4-N,17
Q1,1988-02-02,NO3-N,168
Q1,1988-02-09,K,0.8
Q1,1988-02-09,Mg,2.73
Q1,1988-02-09,Ca,4.09
Q1,1988-02-09,NH4-N,54
Q1,1988-02-09,NO3-N,149
Q1,1988-02-16,K,0.77
Q1,1988-02-16,Mg,2.67
Q1,1988-02-16,Ca,4.04
Q1,1988-02-16,NH4-N,20
Q1,1988-02-16,NO3-N,113
Q1,1988-02-23,K,0.85
Q1,1988-02-23,Mg,2.94
Q1,1988-02-23,Ca,4.39
Q1,1988-02-23,NH4-N,28
Q1,1988-02-23,NO3-N,152
Q1,1988-03-01,K,0.81
Q1,1988-03-01,Mg,2.96
Q1,1988-03-01,Ca,4.31
Q1,1988-03-01,NH4-N,18
Q1,1988-03-01,NO3-N,144
Q1,1988-03-08,K,0.5
Q1,1988-03-08,Mg,2.12
Q1,1988-03-08,Ca,3.89
Q1,1988-03-08,NH4-N,25
Q1,1988-03-08,NO3-N,144
Q1,1988-03-15,K,0.7
Q1,1988-03-15,Mg,2.72
Q1,1988-03-15,Ca,4.02
Q1,1988-03-15,NH4-N,34
Q1,1988-03-15,NO3-N,148
Q1,1988-03-23,K,0.73
Q1,1988-03-23,Mg,2.76
Q1,1988-03-23,Ca,4.05
Q1,1988-03-23,NH4-N,13
Q1,1988-03-23,NO3-N,144
Q1,1988-03-29,K,0.97
Q1,1988-03-29,Mg,1.48
Q1,1988-03-29,Ca,3.16
Q1,1988-03-29,NH4-N,8
