sample_id,sample_date,stream_ion,ion_conc
MPR,1991-06-04,NO3-N,86
MPR,1991-06-11,Mg,0.45
MPR,1991-06-11,NO3-N,68
MPR,1991-06-18,NO3-N,54
MPR,1991-06-25,K,0.79
MPR,1991-06-25,Mg,0.87
MPR,1991-06-25,Ca,5.14
MPR,1991-06-25,NO3-N,6
MPR,1991-07-02,K,0.75
MPR,1991-07-02,Mg,0.8
MPR,1991-07-02,Ca,5.31
MPR,1991-07-02,NO3-N,138
MPR,1991-07-09,K,0.79
MPR,1991-07-09,Mg,0.91
MPR,1991-07-09,Ca,5.06
MPR,1991-07-09,NO3-N,135
MPR,1991-07-16,K,1.02
MPR,1991-07-16,Mg,2.23
MPR,1991-07-16,Ca,4.58
MPR,1991-07-16,NO3-N,25
MPR,1991-07-23,K,0.67
MPR,1991-07-23,Mg,2.23
MPR,1991-07-23,Ca,4.58
MPR,1991-07-23,NO3-N,10
MPR,1991-07-30,K,0.64
MPR,1991-07-30,Mg,2.44
MPR,1991-07-30,Ca,4.26
MPR,1991-07-30,NO3-N,10
MPR,1991-08-06,K,0.75
MPR,1991-08-06,Mg,3
MPR,1991-08-06,Ca,10.24
MPR,1991-08-06,NO3-N,79
MPR,1991-08-13,K,0.78
MPR,1991-08-13,Mg,3.27
MPR,1991-08-13,Ca,10.91
MPR,1991-08-20,K,0.71
MPR,1991-08-20,Mg,2.9
MPR,1991-08-20,Ca,11.19
MPR,1991-08-27,K,1.08
MPR,1991-08-27,Mg,2.97
MPR,1991-08-27,Ca,8.74
MPR,1991-08-27,NO3-N,109
MPR,1991-09-03,K,0.89
MPR,1991-09-03,Mg,2.19
MPR,1991-09-03,Ca,7.95
MPR,1991-09-03,NO3-N,15
MPR,1991-09-10,K,1.09
MPR,1991-09-10,Mg,2.74
MPR,1991-09-10,Ca,11.21
MPR,1991-09-10,NO3-N,56
MPR,1991-09-17,K,0.79
MPR,1991-09-17,Mg,2.39
MPR,1991-09-17,Ca,8.31
MPR,1991-09-17,NO3-N,86
MPR,1991-09-24,K,0.67
MPR,1991-09-24,Mg,2.91
MPR,1991-09-24,Ca,11.02
MPR,1991-09-24,NO3-N,94
MPR,1991-10-01,K,0.77
MPR,1991-10-01,Mg,1.9
MPR,1991-10-01,Ca,6.18
MPR,1991-10-01,NO3-N,122
MPR,1991-10-08,K,0.79
MPR,1991-10-08,Mg,2.22
MPR,1991-10-08,Ca,8.04
MPR,1991-10-08,NO3-N,81
MPR,1991-10-15,K,0.76
MPR,1991-10-15,Mg,2.07
MPR,1991-10-15,Ca,7.26
MPR,1991-10-15,NO3-N,285
MPR,1991-10-22,K,0.76
MPR,1991-10-22,Mg,2.3
MPR,1991-10-22,Ca,7.33
MPR,1991-10-22,NO3-N,104
MPR,1991-10-29,NO3-N,107
MPR,1991-11-05,K,0.26
MPR,1991-11-05,Mg,0.55
MPR,1991-11-05,Ca,1.53
MPR,1991-11-05,NO3-N,100
MPR,1991-11-12,K,0.83
MPR,1991-11-12,Mg,2.22
MPR,1991-11-12,Ca,7.1
MPR,1991-11-12,NO3-N,196
MPR,1991-11-18,K,0.92
MPR,1991-11-18,Mg,2.62
MPR,1991-11-18,Ca,8.78
MPR,1991-11-18,NO3-N,27
MPR,1991-11-26,K,0.83
MPR,1991-11-26,Mg,2.23
MPR,1991-11-26,Ca,6.72
MPR,1991-11-26,NO3-N,114
MPR,1991-12-03,K,0.67
MPR,1991-12-03,Mg,1.77
MPR,1991-12-03,Ca,6.48
MPR,1991-12-03,NO3-N,10
MPR,1991-12-10,K,0.74
MPR,1991-12-10,Mg,2.04
MPR,1991-12-10,Ca,7.07
MPR,1991-12-10,NO3-N,127
MPR,1991-12-17,K,0.23
MPR,1991-12-17,Mg,0.46
MPR,1991-12-17,Ca,0.35
MPR,1991-12-17,NO3-N,128
MPR,1991-12-23,K,0.68
MPR,1991-12-23,Mg,2.22
MPR,1991-12-23,Ca,9.57
MPR,1991-12-23,NO3-N,143
MPR,1991-12-30,K,0.71
MPR,1991-12-30,Mg,2.3
MPR,1991-12-30,Ca,10.13
MPR,1991-12-30,NO3-N,99
MPR,1992-01-07,K,1.03
MPR,1992-01-07,Mg,1.54
MPR,1992-01-07,Ca,6.67
MPR,1992-01-07,NO3-N,196
MPR,1992-01-14,K,0.71
MPR,1992-01-14,Mg,1.85
MPR,1992-01-14,Ca,8.11
